,comm_num,community,area_kmsq,length_streets_m,percent of housing crowded,percent households below poverty,percent aged 16+ unemployed,percent aged 25+ without high school diploma,percent aged under 18 or over 64,per capita income ,hardship index,geoid,med_age,white,hisp,black,asian,other,pop,percent_white,percent_hisp,percent_black,percent_asian,percent_other
10,11,JEFFERSON PARK,64.8681616818,91525.12460585279,2.7,8.6,12.4,13.4,35.5,27751,25.0,11.0,40.2,17060.0,6806.0,293.0,2625.0,719.0,44563.0,38.28288041648902,15.272759912932255,0.6574961290756907,5.890536992572313,1.6134461324417118
11,12,FOREST GLEN,89.1308936364,102029.6988839984,1.1,7.5,6.8,4.9,40.5,44164,11.0,12.0,42.6,13639.0,2935.0,231.0,2076.0,525.0,33045.0,41.27402027538206,8.881827810561356,0.699046754425783,6.28234226055379,1.5887426236949616
12,13,NORTH PARK,70.2887064343,57195.52952934993,3.9,13.2,9.9,14.4,39.0,26576,33.0,13.0,38.7,9128.0,3807.0,523.0,4764.0,692.0,28042.0,32.55117324013979,13.576064474716496,1.8650595535268526,16.988802510519935,2.467726980957136
13,14,ALBANY PARK,53.5422308191,73723.82089780802,11.3,19.2,10.0,32.9,32.0,21323,53.0,14.0,34.6,16040.0,22399.0,2461.0,7391.0,1515.0,65846.0,24.359869999696258,34.01725237675789,3.7375087324970386,11.224675758588221,2.3008231327643287
14,15,PORTAGE PARK,110.196097139,142028.98440346145,4.1,11.6,12.6,19.3,34.0,24336,35.0,15.0,38.9,30287.0,28009.0,981.0,3391.0,1931.0,94886.0,31.91935585860928,29.518580190966006,1.0338722256181103,3.5737621988491455,2.035073667348186
15,16,IRVING PARK,89.6113823106,131134.36033592955,6.3,13.1,10.0,22.4,31.6,27249,34.0,16.0,36.6,22902.0,22426.0,1750.0,4529.0,1923.0,76432.0,29.963889470378902,29.341113669667156,2.289616914381411,5.925528574419092,2.5159619007745446
16,17,DUNNING,103.595001175,118876.04756584573,5.2,10.6,10.0,16.2,33.6,26282,28.0,17.0,41.9,27080.0,12855.0,722.0,2509.0,279.0,70525.0,38.397731300957105,18.227578872740164,1.0237504431052817,3.557603686635945,0.3956043956043956
17,18,MONTCLARE,27.5763936325,33779.597457685115,8.1,15.3,13.8,23.5,38.6,22014,50.0,18.0,37.9,4506.0,8581.0,388.0,460.0,383.0,18824.0,23.937526561835952,45.58542286442839,2.0611984700382493,2.4436889077773056,2.0346366340841477
18,19,BELMONT CRAGIN,109.099414689,135831.5672152458,10.8,18.7,14.6,37.3,37.3,15461,70.0,19.0,34.9,10398.0,63777.0,1865.0,1453.0,1057.0,88948.0,11.689976165849709,71.70144354004587,2.0967306741017224,1.6335386967666503,1.188334757386338
19,20,HERMOSA,32.6020594055,40748.75581004066,6.9,20.5,13.1,41.6,36.4,15089,71.0,20.0,34.5,2513.0,19362.0,910.0,518.0,178.0,25994.0,9.667615603600831,74.48641994306378,3.500807878741248,1.992767561745018,0.6847734092482881
20,21,AVONDALE,55.290595473,78770.10498160696,6.0,15.3,9.2,24.7,31.0,20039,42.0,21.0,32.9,13234.0,21471.0,795.0,1591.0,1027.0,51352.0,25.771148153918055,41.81141922417822,1.5481383393051877,3.0982240224334006,1.999922106247079
21,22,LOGAN SQUARE,100.0575667,149928.61030640846,3.2,16.8,8.2,14.8,26.2,31908,23.0,22.0,32.2,36236.0,28312.0,2933.0,2831.0,2024.0,108572.0,33.375087499539475,26.076704859448107,2.7014331503518405,2.607486276388019,1.8642007147330801
22,23,HUMBOLDT PARK,100.480876502,115809.8014701356,14.8,33.9,17.3,35.4,38.0,13781,85.0,23.0,32.8,4265.0,32318.0,17697.0,347.0,737.0,59629.0,7.152559995975112,54.19846048063861,29.67851213335793,0.5819316104579986,1.2359757835952305
23,24,WEST TOWN,127.562904597,188426.00757898093,2.3,14.7,6.6,12.9,21.7,43198,10.0,24.0,32.3,53847.0,18728.0,5727.0,4144.0,2252.0,138545.0,38.86607239525064,13.517629651015916,4.133674979248619,2.9910859287596088,1.625464650474575
24,25,AUSTIN,199.254203427,232288.7768795543,6.3,28.6,22.6,24.4,37.9,15957,73.0,25.0,36.2,5288.0,14113.0,72886.0,440.0,1000.0,99015.0,5.340604958844619,14.253395950108569,73.61106902994496,0.4443771145785992,1.0099479876786344
25,26,WEST GARFIELD PARK,36.0928488151,51493.50031095661,9.4,41.7,25.8,24.5,43.6,10934,92.0,26.0,31.3,407.0,485.0,15282.0,0.0,247.0,16828.0,2.418588067506537,2.882101259805087,90.81293082956977,0.0,1.467791775612075
26,27,EAST GARFIELD PARK,53.8832208462,71748.31295237689,8.2,42.4,19.6,21.3,43.2,12961,83.0,27.0,31.5,1128.0,537.0,16727.0,119.0,423.0,20062.0,5.6225700328980155,2.676702223108364,83.37653274847972,0.5931612002791348,2.1084637623367564
27,28,NEAR WEST SIDE,158.492466554,232421.10476564197,3.8,20.6,10.7,9.6,22.2,44689,15.0,28.0,31.3,27287.0,5839.0,16885.0,11246.0,1913.0,90457.0,30.165714096200404,6.455000718573466,18.666327647390474,12.432426456769514,2.114816984865737
28,29,NORTH LAWNDALE,89.4874220242,113056.91066694322,7.4,43.1,21.2,27.6,42.7,12034,87.0,29.0,31.6,1159.0,2966.0,27522.0,49.0,377.0,33232.0,3.487602311025518,8.92513240250361,82.81776600866635,0.14744824265767933,1.134448724121329
29,30,SOUTH LAWNDALE,127.998297867,116344.3146815319,15.2,30.7,15.8,54.8,33.8,10402,96.0,30.0,31.0,3112.0,59873.0,8898.0,95.0,179.0,75269.0,4.134504244775405,79.54536396125896,11.821599861828908,0.12621397919462196,0.23781370816670874
30,31,LOWER WEST SIDE,81.5507236377,91777.55630635004,9.6,25.8,15.8,40.7,32.6,16444,76.0,31.0,32.3,6944.0,23327.0,1140.0,1327.0,465.0,40147.0,17.296435599173037,58.10396791790171,2.839564600094652,3.3053528283557925,1.158243455301766
31,32,LOOP,46.3355654586,84267.858987784,1.5,14.7,5.7,3.1,13.5,65526,3.0,32.0,32.3,23855.0,3398.0,3000.0,7111.0,1291.0,62510.0,38.161894096944486,5.435930251159815,4.799232122860342,11.375779875219964,2.0652695568709007
32,33,NEAR SOUTH SIDE,49.7696394541,58326.88461411687,1.3,13.8,4.9,7.4,21.8,59077,7.0,33.0,38.0,13171.0,1377.0,5896.0,3470.0,815.0,37900.0,34.75197889182058,3.633245382585752,15.556728232189974,9.155672823218998,2.150395778364116
33,34,ARMOUR SQUARE,27.7661960954,59148.65459227167,5.7,40.1,16.7,34.5,38.3,16148,82.0,34.0,45.6,1897.0,598.0,1135.0,9913.0,54.0,15494.0,12.243449077062088,3.8595585387892086,7.325416290176842,63.97960500839035,0.34852200851942683
34,35,DOUGLAS,46.0046211581,56852.833925916544,1.8,29.6,18.2,14.3,30.7,23791,47.0,35.0,31.4,2440.0,730.0,14184.0,3168.0,803.0,23765.0,10.267199663370503,3.0717441615821586,59.68440984641279,13.33052808752367,3.3789185777403743
35,36,OAKLAND,16.9139610408,19827.72114227393,1.3,39.7,28.7,18.4,40.4,19252,78.0,36.0,32.9,206.0,300.0,6580.0,71.0,70.0,7433.0,2.771424727566259,4.036055428494551,88.52414906498049,0.9551997847437105,0.9417462666487287
36,37,FULLER PARK,19.9167048692,40480.26868034096,3.2,51.2,33.9,26.6,44.9,10432,97.0,37.0,48.5,87.0,133.0,2162.0,7.0,6.0,2482.0,3.5052377115229656,5.358581788879936,87.1071716357776,0.28203062046736505,0.24174053182917005
37,38,GRAND BOULEVARD,48.4925031554,63113.77009072916,3.3,29.3,24.3,15.9,39.5,23472,57.0,38.0,38.0,816.0,513.0,20139.0,157.0,584.0,23025.0,3.543973941368078,2.228013029315961,87.46579804560261,0.6818675352877307,2.536373507057546
38,39,KENWOOD,29.0717419283,31479.439882754552,2.4,21.7,15.7,11.3,35.4,35911,26.0,39.0,36.9,3411.0,435.0,12108.0,1245.0,755.0,21365.0,15.965363912941728,2.0360402527498245,56.6721273110227,5.827287619939153,3.5338169904048677
39,40,WASHINGTON PARK,42.3738814842,41030.331260490435,5.6,42.1,28.6,25.4,42.8,13785,88.0,40.0,30.2,121.0,263.0,10146.0,0.0,439.0,11090.0,1.09107303877367,2.371505861136159,91.487826871055,0.0,3.958521190261497
40,41,HYDE PARK,45.1053801732,51840.68768291864,1.5,18.4,8.4,4.3,26.2,39056,14.0,41.0,31.7,13156.0,2047.0,7268.0,3719.0,1292.0,40638.0,32.37364043506078,5.037157340420297,17.884738422166446,9.151533047886215,3.1792903194054825
41,42,WOODLAWN,57.815179512,59854.098925115846,2.9,30.7,23.4,16.5,36.1,18672,58.0,42.0,32.3,1815.0,810.0,18634.0,836.0,560.0,24470.0,7.417245606865549,3.3101757253780137,76.15038823048631,3.41642827952595,2.2885165508786267
42,43,SOUTH SHORE,81.8127163958,106772.55501557463,2.8,31.1,20.0,14.0,35.7,19398,55.0,43.0,37.1,1339.0,1265.0,48978.0,157.0,715.0,53793.0,2.4891714535348464,2.351607086423884,91.0490212481178,0.2918595356273121,1.3291692227613259
43,44,CHATHAM,82.3206703112,100669.95646534495,3.3,27.8,24.0,14.5,40.3,18881,60.0,44.0,40.4,585.0,262.0,29667.0,124.0,371.0,31594.0,1.8516173957080457,0.8292713806418941,93.90074064695828,0.3924795847312781,1.1742735962524529
44,45,AVALON PARK,34.8527377366,50000.49027473854,1.4,17.2,21.1,10.6,39.3,24454,41.0,45.0,45.2,93.0,9.0,9339.0,70.0,160.0,9764.0,0.9524784924211389,0.09217533797623924,95.64727570667759,0.7169192953707497,1.6386726751331422
45,46,SOUTH CHICAGO,93.2721850092,90063.56526607933,4.7,29.8,19.7,26.6,41.1,16579,75.0,46.0,34.4,842.0,5914.0,22895.0,104.0,181.0,30778.0,2.7357203197088826,19.2150237182403,74.38754954837871,0.33790369744622784,0.5880823965169927
46,47,BURNSIDE,16.9959832737,13591.225291216324,6.8,33.0,18.6,19.3,42.7,12515,79.0,47.0,45.7,10.0,39.0,1931.0,0.0,26.0,2016.0,0.496031746031746,1.9345238095238095,95.78373015873017,0.0,1.2896825396825395
47,48,CALUMET HEIGHTS,48.8262415643,68212.06897595648,2.1,11.5,20.0,11.0,44.0,28887,38.0,48.0,47.7,143.0,477.0,12056.0,9.0,130.0,12958.0,1.1035653650254669,3.6811236301898442,93.0390492359932,0.06945516283377065,1.0032412409322427
48,49,ROSELAND,134.31370673,168029.71643828475,2.5,19.8,20.3,16.9,41.2,17949,52.0,49.0,39.6,557.0,459.0,37280.0,165.0,701.0,39719.0,1.4023515194239533,1.1556182179813186,93.85936201817769,0.41541831365341525,1.764898411339661
